,Epoch,Replay,Clip,Loss,Accuracy,Timestamp
0,1,1,1,2.283785104751587,0.11999999731779099,2018-04-11 22:52:00.980889
1,1,1,2,2.591384172439575,0.1899999976158142,2018-04-11 22:52:00.980889
2,1,1,3,2.8781185150146484,0.10999999940395355,2018-04-11 22:52:00.980889
3,1,1,4,3.2924587726593018,0.4699999988079071,2018-04-11 22:52:00.980889
4,1,1,5,2.3689661026000977,0.4000000059604645,2018-04-11 22:52:00.980889
5,1,1,6,2.609501600265503,0.3100000023841858,2018-04-11 22:52:00.980889
6,1,1,7,2.4786603450775146,0.49000000953674316,2018-04-11 22:52:00.980889
7,1,1,8,2.3278260231018066,0.3199999928474426,2018-04-11 22:52:00.980889
8,1,1,9,2.3911895751953125,0.46000000834465027,2018-04-11 22:52:00.980889
9,1,1,10,3.7713077068328857,0.44999998807907104,2018-04-11 22:52:00.980889
10,1,2,1,1.9682984352111816,0.38999998569488525,2018-04-11 22:52:14.156660
11,1,2,2,3.092349052429199,0.4000000059604645,2018-04-11 22:52:14.156660
12,1,2,3,2.542736768722534,0.23999999463558197,2018-04-11 22:52:14.156660
13,1,2,4,2.7142343521118164,0.47999998927116394,2018-04-11 22:52:14.156660
14,1,2,5,2.518770217895508,0.33000001311302185,2018-04-11 22:52:14.156660
15,1,2,6,1.7526479959487915,0.5,2018-04-11 22:52:14.156660
16,1,2,7,2.150205135345459,0.41999998688697815,2018-04-11 22:52:14.156660
17,1,2,8,2.6004297733306885,0.6399999856948853,2018-04-11 22:52:14.156660
18,1,2,9,2.7769265174865723,0.4699999988079071,2018-04-11 22:52:14.156660
19,1,2,10,2.363201856613159,0.49000000953674316,2018-04-11 22:52:14.156660
20,1,2,11,2.4491376876831055,0.4399999976158142,2018-04-11 22:52:14.156660
21,1,2,12,2.8615598678588867,0.4699999988079071,2018-04-11 22:52:14.156660
22,1,2,13,2.0997354984283447,0.5899999737739563,2018-04-11 22:52:14.156660
23,1,2,14,3.0362331867218018,0.44999998807907104,2018-04-11 22:52:14.156660
24,1,2,15,2.9446828365325928,0.5199999809265137,2018-04-11 22:52:14.156660
25,1,2,16,1.9284764528274536,0.5699999928474426,2018-04-11 22:52:14.156660
26,1,3,1,2.252359390258789,0.49000000953674316,2018-04-11 22:52:23.840640
27,1,3,2,2.920882225036621,0.4399999976158142,2018-04-11 22:52:23.840640
28,1,3,3,2.266707181930542,0.6000000238418579,2018-04-11 22:52:23.840640
29,1,3,4,2.8597137928009033,0.5400000214576721,2018-04-11 22:52:23.840640
30,1,3,5,2.811352252960205,0.4099999964237213,2018-04-11 22:52:23.840640
31,1,3,6,2.7247366905212402,0.5400000214576721,2018-04-11 22:52:23.840640
32,1,3,7,2.9470458030700684,0.550000011920929,2018-04-11 22:52:23.840640
33,1,3,8,2.2579052448272705,0.5699999928474426,2018-04-11 22:52:23.840640
34,1,3,9,2.745426654815674,0.5299999713897705,2018-04-11 22:52:23.840640
35,1,3,10,2.8117990493774414,0.5299999713897705,2018-04-11 22:52:23.840640
36,1,3,11,2.307845115661621,0.5799999833106995,2018-04-11 22:52:23.840640
37,1,3,12,1.973320722579956,0.6200000047683716,2018-04-11 22:52:23.840640
38,1,4,1,1.987607717514038,0.5199999809265137,2018-04-11 22:52:36.016678
39,1,4,2,2.391608953475952,0.6299999952316284,2018-04-11 22:52:36.016678
40,1,4,3,2.0481576919555664,0.550000011920929,2018-04-11 22:52:36.016678
41,1,4,4,2.9336678981781006,0.6299999952316284,2018-04-11 22:52:36.016678
42,1,4,5,2.2781972885131836,0.7599999904632568,2018-04-11 22:52:36.016678
43,1,4,6,2.5052061080932617,0.5600000023841858,2018-04-11 22:52:36.016678
44,1,4,7,2.8318076133728027,0.5400000214576721,2018-04-11 22:52:36.016678
45,1,4,8,3.112809658050537,0.5899999737739563,2018-04-11 22:52:36.016678
46,1,4,9,3.3034920692443848,0.5799999833106995,2018-04-11 22:52:36.016678
47,1,4,10,2.002565860748291,0.6399999856948853,2018-04-11 22:52:36.016678
48,1,4,11,1.8732692003250122,0.4699999988079071,2018-04-11 22:52:36.016678
49,1,4,12,2.8205206394195557,0.5899999737739563,2018-04-11 22:52:36.016678
50,1,4,13,2.928112745285034,0.5699999928474426,2018-04-11 22:52:36.016678
51,1,4,14,2.6233935356140137,0.6000000238418579,2018-04-11 22:52:36.016678
52,1,4,15,3.2251174449920654,0.5400000214576721,2018-04-11 22:52:36.016678
53,1,5,1,2.077519178390503,0.5699999928474426,2018-04-11 22:52:43.279081
54,1,5,2,2.83652925491333,0.5899999737739563,2018-04-11 22:52:43.279081
55,1,5,3,2.2575223445892334,0.6200000047683716,2018-04-11 22:52:43.279081
56,1,5,4,2.5407063961029053,0.6800000071525574,2018-04-11 22:52:43.279081
57,1,5,5,1.8310208320617676,0.7200000286102295,2018-04-11 22:52:43.279081
58,1,5,6,2.7410714626312256,0.5699999928474426,2018-04-11 22:52:43.279081
59,1,5,7,3.379171371459961,0.4300000071525574,2018-04-11 22:52:43.279081
60,1,5,8,2.7673332691192627,0.5400000214576721,2018-04-11 22:52:43.279081
61,1,5,9,1.9813934564590454,0.699999988079071,2018-04-11 22:52:43.279081
62,1,6,1,2.6219587326049805,0.47999998927116394,2018-04-11 22:52:50.499388
63,1,6,2,2.061809539794922,0.6499999761581421,2018-04-11 22:52:50.499388
64,1,6,3,2.5198755264282227,0.5799999833106995,2018-04-11 22:52:50.499388
65,1,6,4,2.045222520828247,0.5600000023841858,2018-04-11 22:52:50.499388
66,1,6,5,2.8971920013427734,0.5600000023841858,2018-04-11 22:52:50.499388
67,1,6,6,2.2448511123657227,0.6700000166893005,2018-04-11 22:52:50.499388
68,1,6,7,1.8927557468414307,0.6100000143051147,2018-04-11 22:52:50.499388
69,1,6,8,2.5718681812286377,0.5799999833106995,2018-04-11 22:52:50.499388
70,1,6,9,2.853417158126831,0.5799999833106995,2018-04-11 22:52:50.499388
71,1,7,1,2.155045509338379,0.5600000023841858,2018-04-11 22:53:00.121007
72,1,7,2,2.44538950920105,0.5799999833106995,2018-04-11 22:53:00.121007
73,1,7,3,2.1563265323638916,0.6200000047683716,2018-04-11 22:53:00.121007
74,1,7,4,2.2299976348876953,0.3799999952316284,2018-04-11 22:53:00.121007
75,1,7,5,2.2817602157592773,0.6600000262260437,2018-04-11 22:53:00.121007
76,1,7,6,2.8041858673095703,0.5600000023841858,2018-04-11 22:53:00.121007
77,1,7,7,2.62868595123291,0.25,2018-04-11 22:53:00.121007
78,1,7,8,2.6437103748321533,0.5299999713897705,2018-04-11 22:53:00.121007
79,1,7,9,2.5512044429779053,0.6700000166893005,2018-04-11 22:53:00.121007
80,1,7,10,2.7496068477630615,0.5699999928474426,2018-04-11 22:53:00.121007
81,1,7,11,2.4027533531188965,0.44999998807907104,2018-04-11 22:53:00.121007
82,1,7,12,1.898823857307434,0.5799999833106995,2018-04-11 22:53:00.121007
83,1,8,1,1.7926685810089111,0.4699999988079071,2018-04-11 22:53:12.129225
84,1,8,2,2.2123661041259766,0.550000011920929,2018-04-11 22:53:12.129225
85,1,8,3,2.5524513721466064,0.6800000071525574,2018-04-11 22:53:12.129225
86,1,8,4,2.208749532699585,0.46000000834465027,2018-04-11 22:53:12.129225
87,1,8,5,3.1595964431762695,0.4099999964237213,2018-04-11 22:53:12.129225
88,1,8,6,2.5683627128601074,0.6000000238418579,2018-04-11 22:53:12.129225
89,1,8,7,2.1469149589538574,0.4000000059604645,2018-04-11 22:53:12.129225
90,1,8,8,2.4777445793151855,0.46000000834465027,2018-04-11 22:53:12.129225
91,1,8,9,2.6556317806243896,0.4000000059604645,2018-04-11 22:53:12.129225
92,1,8,10,2.725588798522949,0.5099999904632568,2018-04-11 22:53:12.129225
93,1,8,11,2.463139295578003,0.36000001430511475,2018-04-11 22:53:12.129225
94,1,8,12,2.316469430923462,0.38999998569488525,2018-04-11 22:53:12.129225
95,1,8,13,2.457324743270874,0.47999998927116394,2018-04-11 22:53:12.129225
96,1,8,14,1.9798797369003296,0.28999999165534973,2018-04-11 22:53:12.129225
97,1,8,15,2.185148239135742,0.46000000834465027,2018-04-11 22:53:12.129225
98,1,9,1,0.0,0.8100000023841858,2018-04-11 22:53:13.778612
99,1,9,2,1.8554424047470093,0.20999999344348907,2018-04-11 22:53:13.778612
100,1,10,1,1.8648189306259155,0.46000000834465027,2018-04-11 22:53:22.547025
101,1,10,2,2.459573984146118,0.1899999976158142,2018-04-11 22:53:22.547025
102,1,10,3,3.1451947689056396,0.38999998569488525,2018-04-11 22:53:22.547025
103,1,10,4,2.455061435699463,0.38999998569488525,2018-04-11 22:53:22.547025
104,1,10,5,2.6713409423828125,0.38999998569488525,2018-04-11 22:53:22.547025
105,1,10,6,2.7769081592559814,0.3199999928474426,2018-04-11 22:53:22.547025
106,1,10,7,2.6399362087249756,0.27000001072883606,2018-04-11 22:53:22.547025
107,1,10,8,2.4104440212249756,0.3700000047683716,2018-04-11 22:53:22.547025
108,1,10,9,2.4534292221069336,0.33000001311302185,2018-04-11 22:53:22.547025
109,1,10,10,2.616192102432251,0.5400000214576721,2018-04-11 22:53:22.547025
110,1,10,11,3.7278406620025635,0.3700000047683716,2018-04-11 22:53:22.547025
111,1,11,1,2.381307363510132,0.36000001430511475,2018-04-11 22:53:33.730196
112,1,11,2,2.5506627559661865,0.3400000035762787,2018-04-11 22:53:33.730196
113,1,11,3,3.667466402053833,0.2800000011920929,2018-04-11 22:53:33.730196
114,1,11,4,3.5070693492889404,0.5099999904632568,2018-04-11 22:53:33.730196
115,1,11,5,3.0224509239196777,0.4699999988079071,2018-04-11 22:53:33.730196
116,1,11,6,2.3115854263305664,0.5400000214576721,2018-04-11 22:53:33.730196
117,1,11,7,3.222689628601074,0.41999998688697815,2018-04-11 22:53:33.730196
118,1,11,8,2.5265440940856934,0.49000000953674316,2018-04-11 22:53:33.730196
119,1,11,9,3.0714147090911865,0.41999998688697815,2018-04-11 22:53:33.730196
120,1,11,10,2.182166814804077,0.5600000023841858,2018-04-11 22:53:33.730196
121,1,11,11,3.0144410133361816,0.38999998569488525,2018-04-11 22:53:33.730196
122,1,11,12,2.94523549079895,0.46000000834465027,2018-04-11 22:53:33.730196
123,1,11,13,2.6820380687713623,0.5099999904632568,2018-04-11 22:53:33.730196
124,1,11,14,2.945650100708008,0.4000000059604645,2018-04-11 22:53:33.730196
125,1,12,1,2.032749891281128,0.47999998927116394,2018-04-11 22:53:41.781886
126,1,12,2,2.228074550628662,0.5400000214576721,2018-04-11 22:53:41.781886
127,1,12,3,2.7643911838531494,0.5799999833106995,2018-04-11 22:53:41.781886
128,1,12,4,2.518141269683838,0.33000001311302185,2018-04-11 22:53:41.781886
129,1,12,5,2.1042206287384033,0.5400000214576721,2018-04-11 22:53:41.781886
130,1,12,6,2.2842507362365723,0.47999998927116394,2018-04-11 22:53:41.781886
131,1,12,7,2.348672866821289,0.38999998569488525,2018-04-11 22:53:41.781886
132,1,12,8,1.9132640361785889,0.4399999976158142,2018-04-11 22:53:41.781886
133,1,12,9,2.51444149017334,0.3100000023841858,2018-04-11 22:53:41.781886
134,1,12,10,2.5537285804748535,0.25999999046325684,2018-04-11 22:53:41.781886
135,1,13,1,2.0820047855377197,0.3199999928474426,2018-04-11 22:53:52.985532
136,1,13,2,2.9371840953826904,0.27000001072883606,2018-04-11 22:53:52.985532
137,1,13,3,2.004927396774292,0.17000000178813934,2018-04-11 22:53:52.985532
138,1,13,4,2.584973096847534,0.3199999928474426,2018-04-11 22:53:52.985532
139,1,13,5,2.206164598464966,0.36000001430511475,2018-04-11 22:53:52.985532
140,1,13,6,2.092991828918457,0.23000000417232513,2018-04-11 22:53:52.985532
141,1,13,7,2.555276393890381,0.27000001072883606,2018-04-11 22:53:52.985532
142,1,13,8,2.1801698207855225,0.2199999988079071,2018-04-11 22:53:52.985532
143,1,13,9,2.0632262229919434,0.18000000715255737,2018-04-11 22:53:52.985532
144,1,13,10,2.179255485534668,0.23999999463558197,2018-04-11 22:53:52.985532
145,1,13,11,2.864964008331299,0.15000000596046448,2018-04-11 22:53:52.985532
146,1,13,12,1.9708518981933594,0.1599999964237213,2018-04-11 22:53:52.985532
147,1,13,13,2.045740842819214,0.30000001192092896,2018-04-11 22:53:52.985532
148,1,13,14,2.39774751663208,0.28999999165534973,2018-04-11 22:53:52.985532
149,1,14,1,2.442034959793091,0.18000000715255737,2018-04-11 22:54:01.815515
150,1,14,2,2.5872461795806885,0.1899999976158142,2018-04-11 22:54:01.815515
151,1,14,3,3.029229164123535,0.3100000023841858,2018-04-11 22:54:01.815515
152,1,14,4,2.382335901260376,0.1899999976158142,2018-04-11 22:54:01.815515
153,1,14,5,3.1524484157562256,0.17000000178813934,2018-04-11 22:54:01.815515
154,1,14,6,2.708937883377075,0.4000000059604645,2018-04-11 22:54:01.815515
155,1,14,7,2.3803889751434326,0.09000000357627869,2018-04-11 22:54:01.815515
156,1,14,8,2.4865524768829346,0.20999999344348907,2018-04-11 22:54:01.815515
157,1,14,9,2.929332971572876,0.1599999964237213,2018-04-11 22:54:01.815515
158,1,14,10,2.8032870292663574,0.25999999046325684,2018-04-11 22:54:01.815515
159,1,14,11,2.848625421524048,0.10000000149011612,2018-04-11 22:54:01.815515
160,1,15,1,2.9330954551696777,0.1599999964237213,2018-04-11 22:54:10.798614
161,1,15,2,2.709030866622925,0.12999999523162842,2018-04-11 22:54:10.798614
162,1,15,3,2.6198906898498535,0.30000001192092896,2018-04-11 22:54:10.798614
163,1,15,4,2.0078799724578857,0.18000000715255737,2018-04-11 22:54:10.798614
164,1,15,5,2.427907705307007,0.10000000149011612,2018-04-11 22:54:10.798614
165,1,15,6,2.5248801708221436,0.23999999463558197,2018-04-11 22:54:10.798614
166,1,15,7,2.3109145164489746,0.20999999344348907,2018-04-11 22:54:10.798614
167,1,15,8,2.4102892875671387,0.3799999952316284,2018-04-11 22:54:10.798614
168,1,15,9,3.027600049972534,0.17000000178813934,2018-04-11 22:54:10.798614
169,1,15,10,2.6086456775665283,0.1899999976158142,2018-04-11 22:54:10.798614
170,1,15,11,2.765063524246216,0.23000000417232513,2018-04-11 22:54:10.798614
171,1,16,1,2.729966402053833,0.23000000417232513,2018-04-11 22:54:21.995567
172,1,16,2,2.3298070430755615,0.1599999964237213,2018-04-11 22:54:21.995567
173,1,16,3,3.442025661468506,0.3100000023841858,2018-04-11 22:54:21.995567
174,1,16,4,2.6198570728302,0.15000000596046448,2018-04-11 22:54:21.995567
175,1,16,5,2.964468002319336,0.23999999463558197,2018-04-11 22:54:21.995567
176,1,16,6,2.4791576862335205,0.25,2018-04-11 22:54:21.995567
177,1,16,7,2.653740167617798,0.20000000298023224,2018-04-11 22:54:21.995567
178,1,16,8,2.8985400199890137,0.15000000596046448,2018-04-11 22:54:21.995567
179,1,16,9,2.4990525245666504,0.14000000059604645,2018-04-11 22:54:21.995567
180,1,16,10,2.345672369003296,0.12999999523162842,2018-04-11 22:54:21.995567
181,1,16,11,2.582122802734375,0.20000000298023224,2018-04-11 22:54:21.995567
182,1,16,12,2.307995557785034,0.14000000059604645,2018-04-11 22:54:21.995567
183,1,16,13,3.362699508666992,0.15000000596046448,2018-04-11 22:54:21.995567
184,1,16,14,2.4930436611175537,0.18000000715255737,2018-04-11 22:54:21.995567
185,1,17,1,1.8533082008361816,0.20000000298023224,2018-04-11 22:54:31.674960
186,1,17,2,2.0197112560272217,0.25999999046325684,2018-04-11 22:54:31.674960
187,1,17,3,2.59475040435791,0.1899999976158142,2018-04-11 22:54:31.674960
188,1,17,4,2.851644515991211,0.2199999988079071,2018-04-11 22:54:31.674960
189,1,17,5,2.714252233505249,0.18000000715255737,2018-04-11 22:54:31.674960
190,1,17,6,3.2543749809265137,0.23999999463558197,2018-04-11 22:54:31.674960
191,1,17,7,3.0861499309539795,0.20999999344348907,2018-04-11 22:54:31.674960
192,1,17,8,2.656341791152954,0.07000000029802322,2018-04-11 22:54:31.674960
193,1,17,9,2.514718532562256,0.27000001072883606,2018-04-11 22:54:31.674960
194,1,17,10,3.6851584911346436,0.30000001192092896,2018-04-11 22:54:31.674960
195,1,17,11,2.3041775226593018,0.18000000715255737,2018-04-11 22:54:31.674960
196,1,17,12,2.8439230918884277,0.25999999046325684,2018-04-11 22:54:31.674960
197,1,18,1,2.742952823638916,0.1899999976158142,2018-04-11 22:54:41.288151
198,1,18,2,3.5604567527770996,0.23999999463558197,2018-04-11 22:54:41.288151
199,1,18,3,2.5591766834259033,0.14000000059604645,2018-04-11 22:54:41.288151
200,1,18,4,2.965505361557007,0.18000000715255737,2018-04-11 22:54:41.288151
201,1,18,5,2.976104736328125,0.18000000715255737,2018-04-11 22:54:41.288151
202,1,18,6,2.43513822555542,0.09000000357627869,2018-04-11 22:54:41.288151
203,1,18,7,2.9941911697387695,0.12999999523162842,2018-04-11 22:54:41.288151
204,1,18,8,2.362978458404541,0.1899999976158142,2018-04-11 22:54:41.288151
205,1,18,9,2.574864387512207,0.20999999344348907,2018-04-11 22:54:41.288151
206,1,18,10,2.5894501209259033,0.15000000596046448,2018-04-11 22:54:41.288151
207,1,18,11,2.657971143722534,0.20000000298023224,2018-04-11 22:54:41.288151
208,1,18,12,3.237549066543579,0.23999999463558197,2018-04-11 22:54:41.288151
209,1,19,1,2.600618600845337,0.23999999463558197,2018-04-11 22:54:48.586876
210,1,19,2,3.1872854232788086,0.25,2018-04-11 22:54:48.586876
211,1,19,3,2.3871192932128906,0.23000000417232513,2018-04-11 22:54:48.586876
212,1,19,4,2.130776882171631,0.2800000011920929,2018-04-11 22:54:48.586876
213,1,19,5,2.611752986907959,0.20999999344348907,2018-04-11 22:54:48.586876
214,1,19,6,2.2899506092071533,0.11999999731779099,2018-04-11 22:54:48.586876
215,1,19,7,3.0627777576446533,0.20000000298023224,2018-04-11 22:54:48.586876
216,1,19,8,3.173941135406494,0.17000000178813934,2018-04-11 22:54:48.586876
217,1,19,9,3.2962396144866943,0.25,2018-04-11 22:54:48.586876
218,1,20,1,2.4089834690093994,0.3100000023841858,2018-04-11 22:55:04.562113
219,1,20,2,1.961820125579834,0.1599999964237213,2018-04-11 22:55:04.562113
220,1,20,3,2.1796352863311768,0.07999999821186066,2018-04-11 22:55:04.562113
221,1,20,4,2.3166136741638184,0.05000000074505806,2018-04-11 22:55:04.562113
222,1,20,5,3.558866262435913,0.10000000149011612,2018-04-11 22:55:04.562113
223,1,20,6,2.5966200828552246,0.12999999523162842,2018-04-11 22:55:04.562113
224,1,20,7,2.211884021759033,0.3199999928474426,2018-04-11 22:55:04.562113
225,1,20,8,1.7554559707641602,0.25,2018-04-11 22:55:04.562113
226,1,20,9,1.5125597715377808,0.3499999940395355,2018-04-11 22:55:04.562113
227,1,20,10,1.9562455415725708,0.4000000059604645,2018-04-11 22:55:04.562113
228,1,20,11,2.0163562297821045,0.1899999976158142,2018-04-11 22:55:04.562113
229,1,20,12,1.8168712854385376,0.3799999952316284,2018-04-11 22:55:04.562113
230,1,20,13,1.9403393268585205,0.3499999940395355,2018-04-11 22:55:04.562113
231,1,20,14,1.504091739654541,0.4099999964237213,2018-04-11 22:55:04.562113
232,1,20,15,2.3307573795318604,0.2800000011920929,2018-04-11 22:55:04.562113
233,1,20,16,1.1774183511734009,0.3700000047683716,2018-04-11 22:55:04.562113
234,1,20,17,1.4513095617294312,0.20999999344348907,2018-04-11 22:55:04.562113
235,1,20,18,2.0731258392333984,0.10999999940395355,2018-04-11 22:55:04.562113
236,1,20,19,2.4211747646331787,0.4699999988079071,2018-04-11 22:55:04.562113
237,1,20,20,2.2725913524627686,0.36000001430511475,2018-04-11 22:55:04.562113
238,1,21,1,1.3622655868530273,0.47999998927116394,2018-04-11 22:55:15.767303
239,1,21,2,1.797397255897522,0.47999998927116394,2018-04-11 22:55:15.767303
240,1,21,3,1.600773811340332,0.3100000023841858,2018-04-11 22:55:15.767303
241,1,21,4,2.0314416885375977,0.3799999952316284,2018-04-11 22:55:15.767303
242,1,21,5,1.9312634468078613,0.4300000071525574,2018-04-11 22:55:15.767303
243,1,21,6,2.0246529579162598,0.550000011920929,2018-04-11 22:55:15.767303
244,1,21,7,2.140504837036133,0.3799999952316284,2018-04-11 22:55:15.767303
245,1,21,8,1.4139792919158936,0.5,2018-04-11 22:55:15.767303
246,1,21,9,1.8324540853500366,0.46000000834465027,2018-04-11 22:55:15.767303
247,1,21,10,2.3112828731536865,0.4699999988079071,2018-04-11 22:55:15.767303
248,1,21,11,2.0616962909698486,0.5099999904632568,2018-04-11 22:55:15.767303
249,1,21,12,2.3692445755004883,0.38999998569488525,2018-04-11 22:55:15.767303
250,1,21,13,2.2153055667877197,0.3400000035762787,2018-04-11 22:55:15.767303
251,1,21,14,1.4702893495559692,0.4099999964237213,2018-04-11 22:55:15.767303
252,1,22,1,2.1909661293029785,0.38999998569488525,2018-04-11 22:55:21.378611
253,1,22,2,2.2715706825256348,0.3499999940395355,2018-04-11 22:55:21.378611
254,1,22,3,2.288179636001587,0.4399999976158142,2018-04-11 22:55:21.378611
255,1,22,4,2.255952835083008,0.4399999976158142,2018-04-11 22:55:21.378611
256,1,22,5,2.089428663253784,0.3199999928474426,2018-04-11 22:55:21.378611
